"Version","Variable Order","Class","Dataset Name","Variable Name","Variable Label","Type","CDISC CT Codelist Code(s)","Described Value Domain(s)","Value List","Role","CDISC Notes","Core"
"SDTMIG v3.2","26","Interventions","PR","PRPORTOT","Portion or Totality","Char","C99075",,"","Variable Qualifier","Qualifier for anatomical location or specimen further detailing the distribution, which means arrangement of, apportioning of.","Perm"
"SDTMIG v3.2","27","Interventions","PR","VISITNUM","Visit Number","Num","",,"","Timing","Clinical encounter number. Numeric version of VISIT, used for sorting.","Perm"
"SDTMIG v3.2","28","Interventions","PR","VISIT","Visit Name","Char","",,"","Timing","Protocol-defined description of a clinical encounter.","Perm"
"SDTMIG v3.2","29","Interventions","PR","VISITDY","Planned Study Day of Visit","Num","",,"","Timing","Planned study day of VISIT. Should be an integer.","Perm"
"SDTMIG v3.2","30","Interventions","PR","PRSTDTC","Start Date/Time of Procedure","Char","","ISO 8601","","Timing","Start date/time of the procedure represented in ISO 8601 character format.","Exp"
"SDTMIG v3.2","31","Interventions","PR","PRENDTC","End Date/Time of Procedure","Char","","ISO 8601","","Timing","End date/time of the procedure represented in ISO 8601 character format.","Perm"
"SDTMIG v3.2","32","Interventions","PR","PRSTDY","Study Day of Start of Procedure","Num","",,"","Timing","Study day of start of procedure expressed in integer days relative to the sponsor-defined RFSTDTC in Demographics.","Perm"
"SDTMIG v3.2","33","Interventions","PR","PRENDY","Study Day of End of Procedure","Num","",,"","Timing","Study day of end of procedure expressed in integer days relative to the sponsor-defined RFSTDTC in Demographics.","Perm"
"SDTMIG v3.2","34","Interventions","PR","PRDUR","Duration of Procedure","Char","","ISO 8601","","Timing","Collected duration of a procedure represented in ISO 8601 character format. Used only if collected on the CRF and not derived from start and end date/times.","Perm"
"SDTMIG v3.2","35","Interventions","PR","PRTPT","Planned Time Point Name","Char","",,"","Timing","Text description of time when a procedure should be performed. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See PRTPTNUM and PRTPTREF.","Perm"
"SDTMIG v3.2","36","Interventions","PR","PRTPTNUM","Planned Time Point Number","Num","",,"","Timing","Numerical version of planned time point used in sorting.","Perm"
"SDTMIG v3.2","37","Interventions","PR","PRELTM","Planned Elapsed Time from Time Point Ref","Char","","ISO 8601","","Timing","Planned elapsed time in ISO 8601 format relative to a planned fixed reference (PRTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date/time variable, but an interval, represented as ISO duration.","Perm"
"SDTMIG v3.2","38","Interventions","PR","PRTPTREF","Time Point Reference","Char","",,"","Timing","Description of the fixed reference point referred to by PRELTM, PRTPTNUM, and PRTPT.","Perm"
"SDTMIG v3.2","39","Interventions","PR","PRRFTDTC","Date/Time of Reference Time Point","Char","","ISO 8601","","Timing","Date/time for a fixed reference time point defined by PRTRTREF in ISO 8601 character format.","Perm"
"SDTMIG v3.2","40","Interventions","PR","PRSTRTPT","Start Relative to Reference Time Point","Char","",,"AFTER; BEFORE; COINCIDENT; U","Timing","Identifies the start of the observation as being before or after the sponsor-defined reference time point defined by variable PRSTTPT.","Perm"
"SDTMIG v3.2","41","Interventions","PR","PRSTTPT","Start Reference Time Point","Char","",,"","Timing","Description or date/time in ISO 8601 character format of the sponsor-defined reference point referred to by PRSTRTPT. Examples: ""2003-12-15"" or ""VISIT 1"".","Perm"
"SDTMIG v3.2","42","Interventions","PR","PRENRTPT","End Relative to Reference Time Point","Char","",,"AFTER; BEFORE; COINCIDENT; ONGOING; U","Timing","Identifies the end of the observation as being before or after the sponsor-defined reference time point defined by variable PRENTPT.","Perm"
"SDTMIG v3.2","43","Interventions","PR","PRENTPT","End Reference Time Point","Char","",,"","Timing","Description or date/time in ISO 8601 character format of the sponsor-defined reference point referred to by PRENRTPT. Examples: ""2003-12-25"" or ""VISIT 2"".","Perm"
"SDTMIG v3.2","1","Interventions","SU","STUDYID","Study Identifier","Char","",,"","Identifier","Unique identifier for a study.","Req"
"SDTMIG v3.2","2","Interventions","SU","DOMAIN","Domain Abbreviation","Char","",,"SU","Identifier","Two-character abbreviation for the domain.","Req"
"SDTMIG v3.2","3","Interventions","SU","USUBJID","Unique Subject Identifier","Char","",,"","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Req"
"SDTMIG v3.2","4","Interventions","SU","SUSEQ","Sequence Number","Num","",,"","Identifier","Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.","Req"
"SDTMIG v3.2","5","Interventions","SU","SUGRPID","Group ID","Char","",,"","Identifier","Used to tie together a block of related records in a single domain for a subject.","Perm"
"SDTMIG v3.2","6","Interventions","SU","SUSPID","Sponsor-Defined Identifier","Char","",,"","Identifier","Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a Tobacco & Alcohol use CRF page.","Perm"
"SDTMIG v3.2","7","Interventions","SU","SUTRT","Reported Name of Substance","Char","",,"","Topic","Substance name. Examples: Cigarettes, Coffee.","Req"
"SDTMIG v3.2","8","Interventions","SU","SUMODIFY","Modified Substance Name","Char","",,"","Synonym Qualifier","If SUTRT is modified, then the modified text is placed here.","Perm"
"SDTMIG v3.2","9","Interventions","SU","SUDECOD","Standardized Substance Name","Char","",,"","Synonym Qualifier","Standardized or dictionary-derived text description of SUTRT or SUMODIFY if the sponsor chooses to code the substance use. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes.","Perm"
"SDTMIG v3.2","10","Interventions","SU","SUCAT","Category for Substance Use","Char","",,"","Grouping Qualifier","Used to define a category of related records. Examples: TOBACCO, ALCOHOL, or CAFFEINE.","Perm"
"SDTMIG v3.2","11","Interventions","SU","SUSCAT","Subcategory for Substance Use","Char","",,"","Grouping Qualifier","A further categorization of substance use. Examples: CIGARS, CIGARETTES, BEER, WINE","Perm"
"SDTMIG v3.2","12","Interventions","SU","SUPRESP","SU Pre-Specified","Char","C66742",,"","Variable Qualifier","Used to indicate whether (Y/null) information about the use of a specific substance was solicited on the CRF.","Perm"
"SDTMIG v3.2","13","Interventions","SU","SUOCCUR","SU Occurrence","Char","C66742",,"","Record Qualifier","When the use of specific substances is solicited, SUOCCUR is used to indicate whether or not (Y/N) a particular pre-specified substance was used. Values are null for substances not specifically solicited.","Perm"
"SDTMIG v3.2","14","Interventions","SU","SUSTAT","Completion Status","Char","C66789",,"","Record Qualifier","When the use of pre-specified substances is solicited, the completion status indicates that there was no response to the question about the pre-specified substance. When there is no pre-specified list on the CRF, then the completion status indicates that substance use was not assessed for the subject.","Perm"
"SDTMIG v3.2","15","Interventions","SU","SUREASND","Reason Substance Use Not Collected","Char","",,"","Record Qualifier","Describes the reason substance use was not collected. Used in conjunction with SUSTAT when value of SUSTAT is NOT DONE.","Perm"
"SDTMIG v3.2","16","Interventions","SU","SUCLAS","Substance Use Class","Char","",,"","Variable Qualifier","Substance use class. May be obtained from coding. When coding to a single class, populate with class value. If using a dictionary and coding to multiple classes,  then follow Section 4: 4.1.2.8.3, Multiple Values For A Non-Result Qualifier Variable or omit SUCLAS.","Perm"
"SDTMIG v3.2","17","Interventions","SU","SUCLASCD","Substance Use Class Code","Char","",,"","Variable Qualifier","Code corresponding to SUCLAS. May be obtained from coding.","Perm"
"SDTMIG v3.2","18","Interventions","SU","SUDOSE","Substance Use Consumption","Num","",,"","Record Qualifier","Amount of SUTRT consumed. Not populated if SUDOSTXT is populated.","Perm"
"SDTMIG v3.2","19","Interventions","SU","SUDOSTXT","Substance Use Consumption Text","Char","",,"","Record Qualifier","Substance use consumption amounts or a range of consumption information collected in text form. Not populated if SUDOSE is populated.","Perm"
"SDTMIG v3.2","20","Interventions","SU","SUDOSU","Consumption Units","Char","C71620",,"","Variable Qualifier","Units for SUDOSE, SUDOSTOT, or SUDOSTXT. Examples:  OUNCES, CIGARETTE EQUIVALENTS, GRAMS.","Perm"
"SDTMIG v3.2","21","Interventions","SU","SUDOSFRM","Dose Form","Char","",,"","Variable Qualifier","Dose form for SUTRT. Examples: INJECTABLE, LIQUID, or POWDER.","Perm"
"SDTMIG v3.2","22","Interventions","SU","SUDOSFRQ","Use Frequency Per Interval","Char","C71113",,"","Variable Qualifier","Usually expressed as the number of repeated administrations of SUDOSE within a specific time period. Example: Q24H (every day)","Perm"
"SDTMIG v3.2","23","Interventions","SU","SUDOSTOT","Total Daily Consumption","Num","",,"","Record Qualifier","Total daily use of SUTRT using the units in SUDOSU. Used when dosing is collected as Total Daily Dose. If sponsor needs to aggregate the data over a period other than daily, then the aggregated total could be recorded in a Supplemental Qualifier variable.","Perm"
"SDTMIG v3.2","24","Interventions","SU","SUROUTE","Route of Administration","Char","C66729",,"","Variable Qualifier","Route of administration for SUTRT. Examples: ORAL, INTRAVENOUS.","Perm"
"SDTMIG v3.2","25","Interventions","SU","SUSTDTC","Start Date/Time of Substance Use","Char","","ISO 8601","","Timing",,"Perm"
"SDTMIG v3.2","26","Interventions","SU","SUENDTC","End Date/Time of Substance Use","Char","","ISO 8601","","Timing",,"Perm"
"SDTMIG v3.2","27","Interventions","SU","SUSTDY","Study Day of Start of Substance Use","Num","",,"","Timing","Study day of start of substance use relative to the sponsor-defined RFSTDTC.","Perm"
"SDTMIG v3.2","28","Interventions","SU","SUENDY","Study Day of End of Substance Use","Num","",,"","Timing","Study day of end of substance use relative to the sponsor-defined RFSTDTC.","Perm"
"SDTMIG v3.2","29","Interventions","SU","SUDUR","Duration of Substance Use","Char","","ISO 8601","","Timing","Collected duration of substance use in ISO 8601 format. Used only if collected on the CRF and not derived from start and end date/times.","Perm"
"SDTMIG v3.2","30","Interventions","SU","SUSTRF","Start Relative to Reference Period","Char","C66728",,"","Timing","Describes the start of the substance use relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ""ONGOING"", or ""CONTINUING"" was collected, this information may be translated into SUSTRF.","Perm"
"SDTMIG v3.2","31","Interventions","SU","SUENRF","End Relative to Reference Period","Char","C66728",,"","Timing","Describes the end of the substance use with relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ""ONGOING"", or ""CONTINUING"" was collected, this information may be translated into SUENRF.","Perm"
"SDTMIG v3.2","32","Interventions","SU","SUSTRTPT","Start Relative to Reference Time Point","Char","C66728",,"","Timing","Identifies the start of the substance as being before or after the reference time point defined by variable SUSTTPT.","Perm"
"SDTMIG v3.2","33","Interventions","SU","SUSTTPT","Start Reference Time Point","Char","",,"","Timing","Description or date/time in ISO 8601 character format of the reference point referred to by SUSTRTPT. Examples: ""2003-12-15"" or ""VISIT 1"".","Perm"
"SDTMIG v3.2","34","Interventions","SU","SUENRTPT","End Relative to Reference Time Point","Char","C66728",,"","Timing","Identifies the end of the substance as being before or after the reference time point defined by variable SUENTPT.","Perm"
"SDTMIG v3.2","35","Interventions","SU","SUENTPT","End Reference Time Point","Char","",,"","Timing","Description or date/time in ISO 8601 character format of the reference point referred to by SUENRTPT. Examples: ""2003-12-25"" or ""VISIT 2"".","Perm"
"SDTMIG v3.2","1","Events","AE","STUDYID","Study Identifier","Char","",,"","Identifier","Unique identifier for a study.","Req"
"SDTMIG v3.2","2","Events","AE","DOMAIN","Domain Abbreviation","Char","",,"AE","Identifier","Two-character abbreviation for the domain.","Req"
"SDTMIG v3.2","3","Events","AE","USUBJID","Unique Subject Identifier","Char","",,"","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Req"
"SDTMIG v3.2","4","Events","AE","AESEQ","Sequence Number","Num","",,"","Identifier","Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.","Req"
"SDTMIG v3.2","5","Events","AE","AEGRPID","Group ID","Char","",,"","Identifier","Used to tie together a block of related records in a single domain for a subject.","Perm"
"SDTMIG v3.2","6","Events","AE","AEREFID","Reference ID","Char","",,"","Identifier","Internal or external identifier such as a serial number on an SAE reporting form.","Perm"
"SDTMIG v3.2","7","Events","AE","AESPID","Sponsor-Defined Identifier","Char","",,"","Identifier","Sponsor-defined identifier. It may be pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on an Adverse Events page.","Perm"
"SDTMIG v3.2","8","Events","AE","AETERM","Reported Term for the Adverse Event","Char","",,"","Topic","Verbatim name of the event.","Req"
"SDTMIG v3.2","9","Events","AE","AEMODIFY","Modified Reported Term","Char","",,"","Synonym Qualifier","If AETERM is modified to facilitate coding, then AEMODIFY will contain the modified text.","Perm"
"SDTMIG v3.2","10","Events","AE","AELLT","Lowest Level Term","Char","","MedDRA","","Variable Qualifier","Dictionary-derived text description of the Lowest Level Term.","Exp"
"SDTMIG v3.2","11","Events","AE","AELLTCD","Lowest Level Term Code","Num","","MedDRA","","Variable Qualifier","Dictionary-derived code for the Lowest Level Term.","Exp"
"SDTMIG v3.2","12","Events","AE","AEDECOD","Dictionary-Derived Term","Char","","MedDRA","","Synonym Qualifier","Dictionary-derived text description of AETERM or AEMODIFY. Equivalent to the Preferred Term (PT in MedDRA). The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes.","Req"
"SDTMIG v3.2","13","Events","AE","AEPTCD","Preferred Term Code","Num","","MedDRA","","Variable Qualifier","Dictionary-derived code for the Preferred Term.","Exp"
"SDTMIG v3.2","14","Events","AE","AEHLT","High Level Term","Char","","MedDRA","","Variable Qualifier","Dictionary-derived text description of the High Level Term for the primary System Organ Class.","Exp"
"SDTMIG v3.2","15","Events","AE","AEHLTCD","High Level Term Code","Num","","MedDRA","","Variable Qualifier","Dictionary-derived code for the High Level Term for the primary System Organ Class.","Exp"
"SDTMIG v3.2","16","Events","AE","AEHLGT","High Level Group Term","Char","","MedDRA","","Variable Qualifier","Dictionary-derived text description of the High Level Group Term for the primary System Organ Class.","Exp"
"SDTMIG v3.2","17","Events","AE","AEHLGTCD","High Level Group Term Code","Num","","MedDRA","","Variable Qualifier","Dictionary-derived code for the High Level Group Term for the primary System Organ Class.","Exp"
"SDTMIG v3.2","18","Events","AE","AECAT","Category for Adverse Event","Char","",,"","Grouping Qualifier","Used to define a category of related records. Example: BLEEDING, NEUROPSYCHIATRIC.","Perm"
"SDTMIG v3.2","19","Events","AE","AESCAT","Subcategory for Adverse Event","Char","",,"","Grouping Qualifier","A further categorization of adverse event. Example: NEUROLOGIC.","Perm"
"SDTMIG v3.2","20","Events","AE","AEPRESP","Pre-Specified Adverse Event","Char","C66742",,"","Variable Qualifier","A value of ""Y"" indicates that this adverse event was pre-specified on the CRF. Values are null for spontaneously reported events (i.e., those collected as free-text verbatim terms)","Perm"
"SDTMIG v3.2","21","Events","AE","AEBODSYS","Body System or Organ Class","Char","",,"","Record Qualifier","Dictionary derived. Body system or organ class used by the sponsor from the coding dictionary (e.g., MedDRA). When using a multi-axial dictionary such as MedDRA, this should contain the SOC used for the sponsor's analyses and summary tables which may not necessarily be the primary SOC.","Exp"
"SDTMIG v3.2","22","Events","AE","AEBDSYCD","Body System or Organ Class Code","Num","","MedDRA","","Variable Qualifier","Dictionary derived. Code for the body system or organ class used by the sponsor. When using a multi-axial dictionary such as MedDRA, this should contain the SOC used for the sponsor's analyses and summary tables, which may not necessarily be the primary SOC.","Exp"
"SDTMIG v3.2","23","Events","AE","AESOC","Primary System Organ Class","Char","","MedDRA","","Variable Qualifier","Dictionary-derived text description of the primary System Organ Class. Will be the same as AEBODSYS if the primary SOC was used for analysis.","Exp"
"SDTMIG v3.2","24","Events","AE","AESOCCD","Primary System Organ Class Code","Num","","MedDRA","","Variable Qualifier","Dictionary-derived code for the primary System Organ Class. Will be the same as AEBDSYCD if the primary SOC was used for analysis.","Exp"
"SDTMIG v3.2","25","Events","AE","AELOC","Location of Event","Char","C74456",,"","Record Qualifier","Describes anatomical location relevant for the event (e.g., ARM for skin rash).","Perm"
"SDTMIG v3.2","26","Events","AE","AESEV","Severity/Intensity","Char","C66769",,"","Record Qualifier","The severity or intensity of the event. Examples: MILD, MODERATE, SEVERE.","Perm"
"SDTMIG v3.2","27","Events","AE","AESER","Serious Event","Char","C66742",,"","Record Qualifier","Is this a serious event?","Exp"
"SDTMIG v3.2","28","Events","AE","AEACN","Action Taken with Study Treatment","Char","C66767",,"","Record Qualifier","Describes changes to the study treatment as a result of the event. AEACN is specifically for the relationship to study treatment. AEACNOTH is for actions unrelated to dose adjustments of study treatment. Examples of AEACN values include ICH E2B values: DRUG WITHDRAWN, DOSE REDUCED, DOSE INCREASED, DOSE NOT CHANGED, UNKNOWN or NOT APPLICABLE.","Exp"
"SDTMIG v3.2","29","Events","AE","AEACNOTH","Other Action Taken","Char","",,"","Record Qualifier","Describes other actions taken as a result of the event that are unrelated to dose adjustments of study treatment. Usually reported as free text. Example: ""TREATMENT UNBLINDED. PRIMARY CARE PHYSICIAN NOTIFIED.""","Perm"
"SDTMIG v3.2","30","Events","AE","AEREL","Causality","Char","",,"","Record Qualifier","Records the investigator's opinion as to the causality of the event to the treatment. ICH E2A and E2B examples include NOT RELATED, UNLIKELY RELATED, POSSIBLY RELATED, RELATED. Controlled Terminology may be defined in the future. Check with regulatory authority for population of this variable.","Exp"
"SDTMIG v3.2","31","Events","AE","AERELNST","Relationship to Non-Study Treatment","Char","",,"","Record Qualifier","Records the investigator's opinion as to whether the event may have been due to a treatment other than study drug. May be reported as free text. Example: ""MORE LIKELY RELATED TO ASPIRIN USE."".","Perm"
"SDTMIG v3.2","32","Events","AE","AEPATT","Pattern of Adverse Event","Char","",,"","Record Qualifier","Used to indicate the pattern of the event over time. Examples: INTERMITTENT, CONTINUOUS, SINGLE EVENT.","Perm"
"SDTMIG v3.2","33","Events","AE","AEOUT","Outcome of Adverse Event","Char","C66768",,"","Record Qualifier","Description of the outcome of an event.","Perm"
"SDTMIG v3.2","34","Events","AE","AESCAN","Involves Cancer","Char","C66742",,"","Record Qualifier","Was the serious event associated with the development of cancer?","Perm"
"SDTMIG v3.2","35","Events","AE","AESCONG","Congenital Anomaly or Birth Defect","Char","C66742",,"","Record Qualifier","Was the serious event associated with congenital anomaly or birth defect?","Perm"
"SDTMIG v3.2","36","Events","AE","AESDISAB","Persist or Signif Disability/Incapacity","Char","C66742",,"","Record Qualifier","Did the serious event result in persistent or significant disability/incapacity?","Perm"
"SDTMIG v3.2","37","Events","AE","AESDTH","Results in Death","Char","C66742",,"","Record Qualifier","Did the serious event result in death?","Perm"
"SDTMIG v3.2","38","Events","AE","AESHOSP","Requires or Prolongs Hospitalization","Char","C66742",,"","Record Qualifier","Did the serious event require or prolong hospitalization?","Perm"
"SDTMIG v3.2","39","Events","AE","AESLIFE","Is Life Threatening","Char","C66742",,"","Record Qualifier","Was the serious event life threatening?","Perm"
"SDTMIG v3.2","40","Events","AE","AESOD","Occurred with Overdose","Char","C66742",,"","Record Qualifier","Did the serious event occur with an overdose?","Perm"
"SDTMIG v3.2","41","Events","AE","AESMIE","Other Medically Important Serious Event","Char","C66742",,"","Record Qualifier","Do additional categories for seriousness apply?","Perm"
"SDTMIG v3.2","42","Events","AE","AECONTRT","Concomitant or Additional Trtmnt Given","Char","C66742",,"","Record Qualifier","Was another treatment given because of the occurrence of the event?","Perm"
"SDTMIG v3.2","43","Events","AE","AETOXGR","Standard Toxicity Grade","Char","",,"","Record Qualifier","Toxicity grade according to a standard toxicity scale such as Common Terminology Criteria for Adverse Events v3.0 (CTCAE). Sponsor should specify name of the scale and version used in the metadata (see Assumption 6d). If value is from a numeric scale, represent only the number (e.g., ""2"" and not ""Grade 2"").","Perm"
"SDTMIG v3.2","44","Events","AE","AESTDTC","Start Date/Time of Adverse Event","Char","","ISO 8601","","Timing",,"Exp"
"SDTMIG v3.2","45","Events","AE","AEENDTC","End Date/Time of Adverse Event","Char","","ISO 8601","","Timing",,"Exp"
"SDTMIG v3.2","46","Events","AE","AESTDY","Study Day of Start of Adverse Event","Num","",,"","Timing","Study day of start of adverse event relative to the sponsor-defined RFSTDTC.","Perm"
"SDTMIG v3.2","47","Events","AE","AEENDY","Study Day of End of Adverse Event","Num","",,"","Timing","Study day of end of event relative to the sponsor-defined RFSTDTC.","Perm"
"SDTMIG v3.2","48","Events","AE","AEDUR","Duration of Adverse Event","Char","","ISO 8601","","Timing","Collected duration and unit of an adverse event. Used only if collected on the CRF and not derived from start and end date/times. Example: P1DT2H (for 1 day, 2 hours).","Perm"
"SDTMIG v3.2","49","Events","AE","AEENRF","End Relative to Reference Period","Char","C66728",,"","Timing","Describes the end of the event relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point (RFSTDTC) and a discrete ending point (RFENDTC) of the trial.","Perm"
"SDTMIG v3.2","50","Events","AE","AEENRTPT","End Relative to Reference Time Point","Char","C66728",,"","Timing","Identifies the end of the event as being before or after the reference time point defined by variable AEENTPT.","Perm"
"SDTMIG v3.2","51","Events","AE","AEENTPT","End Reference Time Point","Char","",,"","Timing","Description of date/time in ISO 8601 character format of the reference point referred to by AEENRTPT. Examples: ""2003-12-25"" or ""VISIT 2"".","Perm"
"SDTMIG v3.2","1","Events","CE","STUDYID","Study Identifier","Char","",,"","Identifier","Unique identifier for a study.","Req"
"SDTMIG v3.2","2","Events","CE","DOMAIN","Domain Abbreviation","Char","",,"CE","Identifier","Two-character abbreviation for the domain.","Req"
"SDTMIG v3.2","3","Events","CE","USUBJID","Unique Subject Identifier","Char","",,"","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Req"
"SDTMIG v3.2","4","Events","CE","CESEQ","Sequence Number","Num","",,"","Identifier","Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.","Req"
"SDTMIG v3.2","5","Events","CE","CEGRPID","Group ID","Char","",,"","Identifier","Used to tie together a block of related records for a subject within a domain.","Perm"
"SDTMIG v3.2","6","Events","CE","CEREFID","Reference ID","Char","",,"","Identifier","Internal or external identifier.","Perm"
"SDTMIG v3.2","7","Events","CE","CESPID","Sponsor-Defined Identifier","Char","",,"","Identifier","Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a CRF page.","Perm"
"SDTMIG v3.2","8","Events","CE","CETERM","Reported Term for the Clinical Event","Char","",,"","Topic","Term for the medical condition or event. Most likely pre-printed on CRF.","Req"
"SDTMIG v3.2","9","Events","CE","CEDECOD","Dictionary-Derived Term","Char","",,"","Synonym Qualifier","Controlled terminology for the name of the clinical event. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes","Perm"
"SDTMIG v3.2","10","Events","CE","CECAT","Category for Clinical Event","Char","",,"","Grouping Qualifier","Used to define a category of related records.","Perm"
"SDTMIG v3.2","11","Events","CE","CESCAT","Subcategory for Clinical Event","Char","",,"","Grouping Qualifier","A further categorization of the condition or event.","Perm"
"SDTMIG v3.2","12","Events","CE","CEPRESP","Clinical Event Pre-Specified","Char","C66742",,"","Variable Qualifier","Used to indicate whether the Event in CETERM was pre-specified. Value is Y for pre-specified events, null for spontaneously reported events.","Perm"
"SDTMIG v3.2","13","Events","CE","CEOCCUR","Clinical Event Occurrence","Char","C66742",,"","Record Qualifier","Used when the occurrence of specific events is solicited to indicate whether or not a clinical event occurred. Values are null for spontaneously reported events.","Perm"
"SDTMIG v3.2","14","Events","CE","CESTAT","Completion Status","Char","C66789",,"","Record Qualifier","The status indicates that a question from a pre-specified list was not answered.","Perm"
"SDTMIG v3.2","15","Events","CE","CEREASND","Reason Clinical Event Not Collected","Char","",,"","Record Qualifier","Describes the reason clinical event data was not collected. Used in conjunction with CESTAT when value is NOT DONE.","Perm"
"SDTMIG v3.2","16","Events","CE","CEBODSYS","Body System or Organ Class","Char","",,"","Record Qualifier","Dictionary-derived. Body system or organ class that is involved in an event or measurement from a standard hierarchy (e.g., MedDRA). When using a multi-axial dictionary such as MedDRA, this should contain the SOC used for the sponsor's analyses and summary tables which may not necessarily be the primary SOC.","Perm"
"SDTMIG v3.2","17","Events","CE","CESEV","Severity/Intensity","Char","",,"","Record Qualifier","The severity or intensity of the event. Examples: MILD, MODERATE, SEVERE","Perm"
"SDTMIG v3.2","18","Events","CE","CEDTC","Date/Time of Event Collection","Char","","ISO 8601","","Timing",,"Perm"
"SDTMIG v3.2","19","Events","CE","CESTDTC","Start Date/Time of Clinical Event","Char","","ISO 8601","","Timing",,"Perm"
"SDTMIG v3.2","20","Events","CE","CEENDTC","End Date/Time of Clinical Event","Char","","ISO 8601","","Timing",,"Perm"
"SDTMIG v3.2","21","Events","CE","CEDY","Study Day of Event Collection","Num","",,"","Timing","1. Study day of clinical event collection, measured as integer days. 2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics. This formula should be consistent across the submission.","Perm"
"SDTMIG v3.2","22","Events","CE","CESTRF","Start Relative to Reference Period","Char","C66728",,"","Timing","Describes the start of the clinical event relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics).","Perm"
"SDTMIG v3.2","23","Events","CE","CEENRF","End Relative to Reference Period","Char","C66728",,"","Timing","Describes the end of the event relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics).","Perm"
"SDTMIG v3.2","24","Events","CE","CESTRTPT","Start Relative to Reference Time Point","Char","C66728",,"","Timing","Identifies the start of the observation as being before or after the reference time point defined by variable CESTTPT.","Perm"
"SDTMIG v3.2","25","Events","CE","CESTTPT","Start Reference Time Point","Char","",,"","Timing","Description or date/time in ISO 8601 character format of the sponsor-defined reference point referred to by --STRTPT. Examples: ""2003-12-15"" or ""VISIT 1"".","Perm"
"SDTMIG v3.2","26","Events","CE","CEENRTPT","End Relative to Reference Time Point","Char","C66728",,"","Timing","Identifies the end of the event as being before or after the reference time point defined by variable CEENTPT.","Perm"
"SDTMIG v3.2","27","Events","CE","CEENTPT","End Reference Time Point","Char","",,"","Timing","Description or date/time in ISO 8601 character format of the reference point referred to by CEENRTPT. Examples: ""2003-12-25"" or ""VISIT 2"".","Perm"
"SDTMIG v3.2","1","Events","DS","STUDYID","Study Identifier","Char","",,"","Identifier","Unique identifier for a study.","Req"
"SDTMIG v3.2","2","Events","DS","DOMAIN","Domain Abbreviation","Char","",,"DS","Identifier","Two-character abbreviation for the domain.","Req"
"SDTMIG v3.2","3","Events","DS","USUBJID","Unique Subject Identifier","Char","",,"","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Req"
"SDTMIG v3.2","4","Events","DS","DSSEQ","Sequence Number","Num","",,"","Identifier","Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.","Req"
"SDTMIG v3.2","5","Events","DS","DSGRPID","Group ID","Char","",,"","Identifier","Used to tie together a block of related records in a single domain for a subject.","Perm"
"SDTMIG v3.2","6","Events","DS","DSREFID","Reference ID","Char","",,"","Identifier","Internal or external identifier.","Perm"
"SDTMIG v3.2","7","Events","DS","DSSPID","Sponsor-Defined Identifier","Char","",,"","Identifier","Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a Disposition page.","Perm"
"SDTMIG v3.2","8","Events","DS","DSTERM","Reported Term for the Disposition Event","Char","",,"","Topic","Verbatim name of the event or protocol milestone. Some terms in DSTERM will match DSDECOD, but others, such as ""Subject moved"" will map to controlled terminology in DSDECOD, such as ""LOST TO FOLLOW-UP.""","Req"
